domain,bakshy_avg_align,bakshy_l2,bakshy_l1,bakshy_n,bakshy_r1,bakshy_r2,bakshy_is_news
theverge.com,-0.2609,0.0682,0.4738,0.4438,0.0128,0.0014,1
theweek.com,-0.1809,0.1754,0.1858,0.273,0.3507,0.0152,1
thinkprogress.org,-0.8615,0.9498,0.0485,0.0014,0.0002,0.0,1
threepercenternation.com,0.8465,0.0001,0.0,0.0013,0.5369,0.4618,1
time.com,-0.3336,0.2594,0.3651,0.2387,0.1072,0.0298,1
timesofisrael.com,0.3685,0.0125,0.044,0.3475,0.5743,0.0218,1
today.com,-0.1668,0.0064,0.2203,0.7328,0.0387,0.0019,1
topinfopost.com,-0.1502,0.0073,0.6837,0.2701,0.0347,0.0043,1
toprightnews.com,0.8796,0.0,0.0,0.0,0.4225,0.5775,1
townhall.com,0.9263,0.0002,0.0004,0.0009,0.1307,0.8678,1
tpnn.com,0.9323,0.0,0.0,0.0,0.0198,0.9801,1
trueactivist.com,-0.6032,0.0135,0.2341,0.0566,0.6958,0.0,1
truth-out.org,-0.8937,0.8042,0.1917,0.0037,0.0001,0.0002,1
truthandaction.org,0.7952,0.0,0.0001,0.0008,0.7723,0.2268,1
truthdig.com,-0.8565,0.799,0.1909,0.0091,0.0007,0.0003,1
truthrevolt.org,0.8805,0.0006,0.0,0.0318,0.4558,0.5118,1
truthuncensored.net,0.8463,0.0,0.0,0.0085,0.5336,0.4579,1
twitchy.com,0.9375,0.0,0.0029,0.001,0.1177,0.8784,1
twitter.com,-0.2177,0.4426,0.1053,0.1258,0.1201,0.2062,0
tytnetwork.com,-0.7785,0.5193,0.4767,0.0036,0.0004,0.0,1
ulstermanbooks.com,0.9456,0.0,0.0,0.0,0.0658,0.9342,1
unitedwithisrael.org,0.5564,0.0001,0.0005,0.0445,0.9497,0.0052,1
universalfreepress.com,0.8641,0.0,0.0015,0.0005,0.4119,0.5861,1
uproxx.com,-0.4468,0.1885,0.6115,0.1867,0.0133,0.0,1
upworthy.com,-0.8097,0.6771,0.3165,0.0064,0.0,0.0,1
usatoday.com,-0.0635,0.0803,0.2209,0.515,0.165,0.0188,1
usnews.com,-0.0392,0.0825,0.2029,0.1388,0.2019,0.3739,1
valleycentral.com,0.0592,0.0404,0.1963,0.4897,0.2274,0.0463,1
vice.com,-0.6267,0.2262,0.7134,0.042,0.0178,0.0006,1
video.foxnews.com,0.838,0.001,0.002,0.0158,0.3087,0.6725,1
video.lauraingraham.com,0.9419,0.0,0.0,0.0,0.0673,0.9327,1
vimeo.com,-0.2916,0.4595,0.1619,0.0934,0.1376,0.1476,0
viral.buzz,0.9176,0.0,0.0,0.0,0.0436,0.9564,1
viralsurvival.com,0.813,0.0,0.0,0.0016,0.606,0.3923,1
virtualjerusalem.com,0.512,0.0,0.0049,0.073,0.8998,0.0224,1
voicesofliberty.com,0.4358,0.0002,0.0004,0.2866,0.7086,0.0041,1
vox.com,-0.6591,0.5967,0.3334,0.0494,0.0198,0.0007,1
warrior.scout.com,0.3947,0.0,0.0008,0.0553,0.9408,0.0031,1
washington.cbslocal.com,0.3279,0.0311,0.0295,0.1414,0.4899,0.3081,1
